ISBN,name,keyword,category
P1503270007,樂緹-黑巧克力草莓法式薄餅,Les Gavottes/樂提\零食\餅乾\法式薄餅,休閒食品
P2005270018,奇華家鄉蛋捲(原味/玉露抹茶/香橙抹卡可選),/點心\捲餅\甜食\零食\雞蛋,休閒食品
P1810030002,日清杯麵-醬油風味77g,/泡麵\杯麵\速食麵\日本泡麵,休閒食品
P1412260005,伊華-Hello Kitty草莓棉花糖,eiwa/伊華\零食\棉花糖\草莓,休閒食品
P1601210016,十翼饌-HELLO KITTY 關廟麵禮盒,十翼饌/關廟麵\禮盒,休閒食品
P1503270009,樂緹-巧克力夾心法式薄餅捲,Les Gavottes/樂提\零食\餅乾\法式薄餅,休閒食品
P1810170017,YuPi 呦皮 萬聖節眼球造型QQ糖 91g,不給糖就搗蛋/糖果\軟糖\萬聖節糖果,休閒食品
P1807040001,Ｔｏｈａｔｏ東鳩　微笑薄餅－杏仁焦糖１００ｇ,/,休閒食品
P1809050003,明星食品-一平夜店炒麵(鹽味)132g,/泡麵\麵條\超人氣泡麵\即時泡麵,休閒食品
P1908220002,三風辣麵-香蒜黃金椒細麵(2人份)240g,/三風辣麵\香蒜\麵\辣椒\細麵\大口吃麵,休閒食品
P1710250017,印尼　ｄｕａ　ｋｅｌｉｎｃｉ　墨西哥脆餅－炭烤牛肉風味,餅乾/團購美食\異國零食\玉米片\零食\印尼餅乾,休閒食品
P1509160019,3點1刻-經典原味奶茶,3點1刻/茶包\飲品\奶茶,休閒食品
P1410090018,和風章魚燒披薩,瑪莉屋/披薩\PIZZA,休閒食品
P1504300009,北海之味-14+1綜合豆果子,北海之味/零食\小零嘴\豆果子\綜合豆,休閒食品
P1407310010,阿聰師護國庇民媽祖餅禮盒,阿聰師/禮盒,休閒食品
P1708180149,雲林吃果籽　－　草莓果汁蒟蒻（１２入／包）,/中元零食大賞\下午茶時光\果凍,休閒食品
P1511110010,泰國ＭＡＭＡ－特級酸辣麵（５包／組）,MAMA/泰國泡麵\泡麵\酸辣麵,休閒食品
P1409240005,菲律賓7D-芒果乾,菲律賓7D/果乾\水果乾\蜜餞,休閒食品
P1412050013,泰國皇家牛乳片(兩入),皇家/牛奶片\牛乳片,休閒食品
P1801100024,紅帽子　盒裝綜合法蘭酥（２０枚）１５６ｇ,過年禮盒/伴手禮\禮盒預購\糕餅禮盒\春節禮盒,休閒食品
P1809120027,馬來貘海鹽風味洋芋片,/洋芋片\餅乾零食\薯片,休閒食品
